성별,연령,거주지역,네이버(1),다음(2),구글(3),유튜브(4),페이스북(5),카카오톡(6),트위터(7),언론사사이트(한겨레 등)(8),인터넷커뮤니티(카페)(9),"인터넷게시판(디씨, 오유)(10)",주사이트,구독중인 언론사 채널 수,최종학력,월평균가구소득,정치적성향
2,4,11,5,1,2,3,2,4,1,2,4,2,1,1,2,2,4
1,4,1,4,2,3,4,3,5,1,2,2,1,1,0,4,4,3
2,4,3,3,1,2,2,1,5,1,2,5,1,1,0,4,6,3
1,3,1,5,5,5,3,1,5,1,5,5,5,1,2,5,3,4
1,2,9,5,1,5,5,2,5,2,1,5,5,1,0,4,3,3
1,3,1,5,1,2,3,5,5,5,1,3,1,1,0,4,8,3
2,5,2,5,5,2,1,1,5,1,3,1,1,1,0,2,3,2
1,5,16,5,2,3,1,4,5,4,3,5,4,1,0,4,7,3
2,3,10,5,5,5,5,5,5,5,3,5,3,2,1,4,4,3
1,3,1,5,3,1,4,5,5,3,2,3,1,1,1,4,4,4
2,4,15,5,5,5,5,5,5,4,4,4,4,1,0,2,3,3
1,1,10,5,2,5,5,1,5,5,1,5,5,1,0,4,4,2
1,3,1,2,5,3,4,4,5,1,2,2,1,2,0,4,5,5
1,3,15,5,5,2,3,5,5,2,2,5,2,1,0,5,5,2
2,5,16,5,5,5,5,1,5,1,5,5,1,2,0,1,1,4
2,5,3,5,5,5,1,1,5,1,5,5,5,6,0,4,4,4
1,1,14,5,2,5,5,5,5,2,2,3,1,1,0,3,3,3
1,4,1,2,3,5,5,3,5,1,3,2,2,2,1,5,4,3
1,3,2,5,5,5,5,1,5,1,1,2,2,2,0,4,2,3
1,2,3,5,5,5,5,1,5,1,1,5,1,1,0,4,8,4
1,2,16,5,4,3,5,4,4,1,2,5,5,10,0,5,1,5
1,2,3,5,1,1,5,3,5,1,3,3,3,1,1,4,1,4
2,5,3,5,5,2,4,1,5,1,1,1,1,4,1,4,5,3
1,4,3,3,4,2,3,4,4,1,3,2,1,4,1,5,6,4
2,3,3,5,5,2,5,2,5,2,2,2,2,1,0,5,8,3
1,2,4,5,5,4,5,2,5,2,4,3,5,1,1,4,3,2
2,3,3,5,5,3,5,2,5,2,5,5,3,1,3,4,6,5
1,4,9,5,2,2,3,1,5,1,3,1,1,4,0,2,3,3
1,3,1,5,2,5,5,5,5,3,1,4,1,5,0,4,7,3
2,2,1,5,1,5,2,1,2,1,1,2,3,1,0,4,2,2
2,5,8,5,5,3,2,1,3,1,1,2,1,11,0,4,3,4
1,4,1,5,5,2,5,5,3,5,4,2,2,1,6,4,3,4
2,3,3,5,1,1,2,3,5,1,1,1,1,1,0,4,1,3
1,5,1,5,3,4,5,2,5,1,2,5,5,1,0,4,4,2
1,5,3,5,5,1,2,2,5,1,5,2,1,2,0,4,5,5
2,1,7,3,3,1,4,5,5,1,1,2,2,5,0,2,1,3
2,2,3,5,1,3,5,5,5,1,1,4,1,1,1,4,8,2
1,5,6,5,3,3,2,2,5,2,1,1,1,1,0,5,4,3
2,5,15,5,2,1,2,2,5,1,1,2,1,6,0,2,5,1
1,4,1,5,2,3,5,4,5,1,3,4,3,1,2,4,4,4
1,4,15,5,1,5,5,1,5,1,1,1,1,1,0,2,2,2
1,2,6,2,3,5,5,1,3,1,3,1,1,3,1,2,1,3
1,4,3,5,2,5,5,5,5,5,5,2,1,1,1,4,5,3
1,1,1,5,5,5,5,5,5,5,3,4,4,1,0,5,7,3
1,5,16,1,3,1,3,1,1,1,3,5,1,2,0,4,3,3
2,4,1,5,5,3,2,1,5,1,3,4,1,2,1,5,1,4
2,5,1,3,2,1,1,2,5,1,2,1,1,1,0,4,4,3
1,2,13,5,2,2,2,2,5,5,1,1,1,1,1,2,2,3
1,5,9,5,1,1,1,1,3,1,1,1,1,1,0,5,2,3
1,3,9,5,2,5,3,1,5,5,5,2,4,4,0,4,5,3
2,5,1,3,3,2,3,2,4,1,2,3,1,8,0,4,4,3
1,2,1,5,1,2,2,1,5,1,2,2,5,1,0,2,1,3
1,4,1,5,1,3,2,2,3,1,1,1,1,1,0,5,7,4
2,3,1,5,2,2,2,2,5,1,3,3,2,1,0,4,4,3
1,5,6,5,5,4,3,5,5,5,4,4,5,1,2,5,8,2
2,4,3,5,1,2,2,1,3,1,1,1,1,1,0,2,4,3
2,1,1,5,2,5,5,1,5,2,1,3,5,10,0,3,3,4
2,3,15,5,5,1,5,1,5,1,1,3,1,2,0,2,2,2
1,5,7,4,1,1,3,2,5,1,1,2,1,1,0,4,4,2
1,5,1,1,2,2,4,1,5,1,1,1,1,4,0,4,1,4
1,3,3,3,5,5,5,1,5,1,1,3,5,2,0,4,2,3
2,1,17,5,1,1,5,3,4,5,1,5,1,9,0,2,5,3
1,3,3,5,3,5,5,2,5,1,1,3,1,1,0,5,6,4
1,5,15,1,5,1,2,1,5,1,5,1,1,2,0,4,8,3
1,3,3,5,3,5,5,3,5,1,5,4,3,1,2,4,5,4
1,4,13,5,4,2,3,1,5,1,5,4,2,1,1,4,5,3
1,4,11,5,2,2,3,2,5,1,3,5,2,1,2,2,6,4
1,4,14,1,2,2,3,1,3,5,1,1,1,7,0,4,7,5
1,3,11,2,3,2,4,2,2,2,1,2,1,4,0,4,1,3
1,2,1,5,1,5,5,1,5,1,1,3,4,1,0,4,2,3
2,4,3,5,5,5,5,1,5,1,4,5,1,1,0,4,2,3
1,3,3,5,2,1,5,1,5,5,1,1,1,1,0,5,7,1
1,5,10,1,5,2,3,4,5,2,1,3,2,2,0,4,2,4
2,2,3,5,2,5,2,2,5,1,1,3,1,1,0,4,1,4
2,1,2,5,2,4,5,1,5,1,1,5,1,1,0,4,7,4
2,4,11,5,1,1,1,1,1,1,2,1,1,1,0,2,2,3
2,3,1,5,3,1,2,5,5,1,1,5,1,1,0,2,4,4
2,4,1,5,4,2,1,1,1,1,5,3,1,1,2,4,3,4
2,5,11,2,5,2,2,1,3,1,1,5,2,2,0,1,2,3
1,3,6,4,2,2,3,3,5,1,4,3,1,1,0,4,8,4
2,2,14,5,5,5,5,5,5,5,2,4,2,3,1,4,8,3
1,4,1,5,5,3,2,1,5,1,5,2,2,1,0,5,8,2
2,1,1,5,5,5,5,5,5,5,5,5,5,1,0,4,3,4
1,3,1,2,5,4,3,1,5,1,2,5,4,2,1,4,2,3
1,5,4,5,5,5,3,2,5,1,2,2,1,1,0,4,3,3
2,5,2,5,5,3,4,2,3,2,2,4,4,1,1,5,6,4
1,1,1,5,1,3,5,2,5,1,1,3,1,1,0,3,3,3
1,5,1,5,5,2,2,5,5,1,3,1,1,2,2,5,5,3
1,4,1,1,5,5,1,1,2,1,1,1,1,2,0,2,3,4
1,5,13,2,5,1,4,1,5,1,2,2,2,4,1,4,2,3
1,4,10,2,5,1,1,1,5,1,1,1,1,2,0,5,4,4
2,3,11,2,1,1,3,1,1,1,1,2,2,1,0,2,4,3
1,5,7,5,1,5,2,1,5,1,1,1,1,1,0,4,4,2
2,4,3,4,1,2,2,2,3,1,1,3,1,4,0,2,1,3
1,4,3,5,2,1,2,2,2,1,1,2,1,1,0,2,3,3
2,3,3,5,2,3,5,5,1,1,2,2,3,1,0,2,2,1
2,4,3,4,5,2,2,5,5,5,1,4,5,2,0,4,3,4
2,5,7,5,1,1,1,1,5,1,1,1,1,1,0,4,3,3
2,2,1,5,4,4,5,2,5,1,1,2,1,1,1,4,3,3
1,4,3,5,5,5,3,2,5,1,1,2,1,1,2,4,3,4
2,4,6,4,5,2,5,1,2,1,1,3,1,2,0,3,2,3
2,5,12,2,5,5,5,4,4,3,2,3,1,4,0,2,1,3
2,4,1,5,1,5,2,4,5,1,1,3,1,1,2,2,4,3
1,5,1,2,1,1,1,1,1,1,1,1,1,11,0,4,8,2
1,4,1,2,5,2,2,2,5,1,2,2,1,2,0,4,4,4
2,5,1,3,5,2,5,5,5,1,2,1,1,2,0,2,2,2
2,4,3,5,2,1,1,1,5,1,1,3,1,6,0,4,3,3
1,5,9,3,4,2,2,2,5,2,2,3,3,2,0,4,3,3
2,5,10,3,3,2,1,2,5,3,2,2,2,6,0,4,5,4
1,3,7,5,1,5,2,2,5,1,5,2,1,1,0,4,8,3
2,1,11,5,2,4,2,1,5,5,1,1,1,1,0,3,5,4
2,4,1,5,5,2,2,1,5,1,2,3,1,1,1,4,6,3
1,3,8,2,2,2,2,2,2,2,3,3,3,2,1,4,6,1
2,5,2,2,4,1,3,2,5,1,2,3,2,1,0,4,3,3
1,5,3,5,5,1,5,1,5,1,2,3,2,2,0,4,4,3
2,1,1,5,4,5,5,3,5,3,5,4,5,1,0,4,3,4
1,3,14,1,1,4,3,1,2,1,1,2,5,10,0,4,2,2
1,1,12,3,1,5,5,2,3,1,1,2,5,4,0,4,3,3
1,4,3,1,4,2,1,4,4,1,2,2,2,2,0,5,4,3
1,3,13,5,4,5,3,5,5,3,3,2,2,1,1,4,3,4
2,5,16,5,4,4,5,3,4,1,2,2,1,1,2,2,8,3
1,5,12,2,3,2,2,1,5,1,1,2,1,2,0,4,4,4
1,3,17,5,5,5,5,5,5,1,2,3,3,2,0,5,5,4
2,3,3,1,5,2,2,3,5,3,3,1,1,7,0,2,2,3
1,2,1,5,1,3,5,5,5,1,1,5,1,1,0,4,2,4
2,3,7,5,2,1,5,1,4,1,5,5,1,1,1,4,3,3
2,4,1,5,3,5,5,5,5,1,3,4,1,1,1,5,3,3
1,4,9,3,3,2,5,5,4,1,5,5,5,2,0,4,3,3
2,2,1,5,2,5,5,1,5,5,1,2,5,1,0,5,2,4
2,3,1,5,3,2,3,1,5,1,2,2,1,1,0,5,4,3
2,3,12,5,5,1,2,1,5,1,3,2,1,1,1,4,2,3
2,5,9,4,3,4,3,5,5,3,2,3,2,1,0,2,4,4
2,4,11,5,5,3,5,5,5,5,3,5,4,1,1,4,3,3
2,5,14,5,3,2,5,2,4,1,2,2,1,1,0,2,2,2
1,1,11,5,2,5,5,1,5,1,1,4,5,1,0,4,4,4
1,4,14,5,1,1,1,1,5,1,1,1,1,1,1,4,3,2
1,4,17,2,5,5,5,1,5,1,2,2,2,2,0,5,8,4
1,1,3,5,1,5,5,1,5,1,2,1,1,1,0,4,8,5
1,2,1,5,1,5,4,5,5,1,1,4,2,1,0,4,3,3
1,2,14,1,1,3,2,1,3,2,1,4,3,10,0,3,1,2
1,4,17,2,5,5,5,5,5,5,1,1,1,4,0,5,7,3
1,1,16,5,5,4,5,1,5,1,3,4,1,1,2,4,3,3
2,5,11,5,2,1,1,1,5,1,1,2,1,1,0,2,1,1
1,3,11,2,5,2,5,1,3,1,1,1,1,2,2,2,1,4
2,4,3,5,5,4,3,3,5,4,2,4,2,1,0,4,8,3
2,3,1,3,3,3,2,5,5,1,1,3,1,11,0,5,1,3
1,2,15,5,1,5,5,3,3,1,1,1,1,1,0,5,4,2
1,4,15,3,3,2,2,2,1,2,1,1,1,2,0,4,2,3
2,1,1,3,1,4,5,1,5,5,1,3,1,7,1,3,1,4
1,3,1,5,5,2,1,1,3,1,1,1,1,1,0,5,8,3
1,5,3,2,2,2,3,2,5,1,1,1,1,2,0,4,5,4
2,2,3,2,1,2,1,1,5,1,1,1,1,1,0,2,1,3
1,2,11,5,1,5,3,1,5,1,3,3,1,1,0,4,3,4
1,5,2,4,3,2,2,1,4,1,1,2,1,1,0,4,8,3
1,4,3,5,2,2,3,3,5,3,3,5,3,1,1,4,6,3
1,5,2,5,5,5,5,1,4,1,1,1,1,2,0,4,1,4
2,5,7,5,1,1,5,1,5,1,1,1,3,1,0,4,1,3
1,4,9,3,5,1,5,2,3,1,1,1,1,2,1,4,2,3
2,4,15,2,5,1,2,2,5,1,2,2,1,2,0,4,4,2
1,5,13,5,1,1,1,1,5,1,1,1,1,1,0,2,4,2
1,3,3,4,1,2,3,2,5,1,1,2,3,1,0,4,4,3
2,3,6,5,1,2,2,1,5,1,1,5,1,1,0,4,2,3
1,3,10,5,3,5,5,5,5,5,5,5,5,6,2,2,2,5
1,4,3,3,1,1,2,1,5,1,1,1,1,1,0,4,2,3
1,4,11,2,5,1,3,1,3,1,1,5,1,2,0,5,6,3
1,4,3,2,5,3,2,1,5,1,1,5,3,2,0,4,3,3
2,4,3,1,5,1,3,1,4,1,1,1,1,2,0,5,1,2
1,2,1,5,2,4,5,5,5,1,2,4,2,1,1,4,6,3
2,4,12,5,1,1,3,1,5,1,3,5,1,1,1,4,3,3
1,5,13,4,3,4,2,2,5,1,1,5,1,1,0,5,1,4
1,5,3,1,5,1,2,1,5,1,1,1,1,2,0,2,3,2
2,2,11,5,1,5,5,1,5,1,2,1,1,4,1,5,3,3
2,5,1,2,1,2,5,1,5,1,1,1,1,6,0,2,4,2
2,5,6,5,5,2,3,1,4,1,1,4,1,2,0,2,3,3
1,5,11,5,1,5,5,2,5,1,5,2,1,1,2,2,3,3
1,3,8,5,5,5,2,1,5,1,1,5,2,1,0,2,1,3
2,2,17,5,4,5,2,1,5,1,1,5,5,1,0,4,4,3
1,3,11,5,5,2,2,1,2,1,1,2,1,2,0,4,3,3
2,5,14,5,5,5,5,5,5,2,2,1,1,1,0,4,4,3
1,4,10,2,5,5,2,1,4,1,2,1,2,2,0,4,7,3
1,3,3,5,5,5,2,3,5,1,4,3,5,1,0,4,3,3
1,2,3,5,5,1,1,1,5,5,1,1,1,2,0,2,5,4
2,5,11,3,2,3,3,4,5,1,1,5,1,1,0,4,5,2
1,3,1,4,2,1,3,1,4,1,1,2,1,1,0,2,2,3
1,4,3,2,5,1,1,2,5,1,5,5,2,2,0,2,8,2
2,5,3,1,1,2,1,5,5,1,1,1,1,11,0,4,3,1
1,4,2,5,1,1,1,1,5,1,1,3,1,1,0,5,8,3
1,2,1,5,3,2,5,1,5,1,2,2,2,1,1,4,3,4
1,4,3,2,1,2,4,2,5,1,1,3,1,4,0,4,8,4
1,2,3,5,1,1,5,1,5,1,2,1,1,1,0,4,3,3
1,5,13,2,2,1,1,1,5,1,1,1,1,1,0,5,8,3
1,2,2,5,1,2,2,1,5,1,1,2,1,1,0,4,2,3
1,4,14,2,3,1,1,3,4,1,1,3,1,2,0,5,7,3
2,4,14,5,2,1,1,1,5,1,2,1,1,1,0,2,5,2
1,1,4,3,1,2,3,1,5,1,1,1,1,1,0,3,2,4
2,1,4,5,5,3,5,1,5,3,1,4,1,1,0,4,5,4
1,4,11,5,2,5,5,2,5,2,2,2,2,1,1,4,3,3
1,4,3,3,3,1,3,1,5,1,1,1,1,1,0,4,3,2
2,4,14,2,1,1,1,1,2,1,1,1,1,1,0,4,2,3
2,5,3,5,5,3,5,5,5,1,3,4,1,8,1,2,1,1
2,4,1,2,5,1,1,1,5,1,2,2,1,8,0,5,4,3
2,4,4,4,4,1,3,1,2,1,1,1,1,1,0,4,2,2
1,4,7,5,1,5,5,1,5,1,4,2,3,4,0,2,8,1
1,3,1,3,1,4,3,1,5,1,1,3,3,3,0,4,8,3
1,4,3,3,2,1,3,1,3,1,1,1,1,1,0,4,3,3
2,3,13,2,5,3,4,2,5,2,2,5,3,2,0,5,6,3
2,4,11,4,5,5,1,1,5,1,2,3,2,2,0,4,3,3
1,3,1,5,1,4,2,2,5,1,2,5,1,1,0,4,4,4
1,2,12,5,5,2,5,1,4,1,1,2,5,10,0,3,2,3
1,2,16,5,1,5,5,3,5,5,3,2,1,1,0,4,3,4
2,5,6,5,5,1,5,1,5,1,5,2,2,2,0,4,4,3
1,2,17,5,5,5,5,5,5,2,3,5,5,1,6,4,3,4
2,1,3,4,1,1,4,2,5,1,1,3,1,9,0,4,2,3
1,4,1,5,5,2,5,1,2,1,5,2,1,1,1,4,4,4
1,4,12,5,2,1,1,1,3,1,4,2,1,1,1,4,4,3
2,4,1,5,5,3,4,5,5,1,2,3,1,1,0,5,6,2
2,3,12,2,5,2,5,1,5,5,1,1,1,2,0,4,4,3
2,4,11,5,5,2,5,1,5,1,1,1,1,1,1,2,8,3
2,5,1,5,1,1,2,1,5,1,3,2,1,1,0,4,8,2
1,3,13,5,2,3,2,2,3,1,3,5,1,1,0,4,6,2
2,4,2,5,1,1,2,1,5,1,5,5,1,6,0,2,5,2
2,5,17,3,2,1,3,1,5,1,1,5,1,4,0,4,2,1
1,1,1,4,1,5,4,5,5,1,2,3,5,1,0,3,8,1
2,4,5,5,3,2,5,1,5,1,2,5,1,1,1,4,6,3
2,2,1,2,1,2,4,1,5,1,1,1,1,1,0,4,2,4
1,4,1,5,1,1,2,5,5,5,1,2,1,7,0,4,6,4
1,5,1,5,2,2,5,2,5,1,3,2,2,1,0,4,3,2
1,5,1,5,2,2,3,1,5,1,2,3,1,1,1,5,8,2
1,1,7,5,1,2,5,1,5,3,2,1,1,1,1,3,6,5
2,4,13,2,5,2,3,1,3,1,2,2,2,2,0,2,7,3
2,2,2,5,1,1,2,3,5,1,2,5,1,1,0,4,4,3
1,5,17,5,5,5,4,3,5,3,5,3,3,2,2,4,1,3
1,1,1,5,2,3,5,2,5,1,1,4,2,1,0,4,2,3
2,4,8,5,4,5,4,1,2,1,2,2,1,1,0,4,4,3
2,5,3,3,2,1,2,1,5,1,1,1,1,1,0,2,7,3
2,4,11,3,5,4,5,3,5,3,2,2,2,2,0,4,1,3
1,1,4,5,3,4,5,3,5,2,3,3,3,1,0,2,5,4
1,3,3,4,4,4,4,2,4,2,3,3,3,1,0,4,5,5
2,1,1,5,2,5,5,2,5,1,3,5,1,9,0,5,8,4
1,3,6,5,5,5,2,1,5,1,1,5,2,1,0,4,7,4
2,5,13,2,4,2,5,1,5,1,1,1,1,2,0,4,1,3
2,4,3,5,1,2,2,1,5,1,3,5,2,1,1,2,7,3
1,5,4,5,5,1,1,1,4,1,1,1,1,2,0,4,2,2
1,1,1,4,1,5,3,2,5,2,1,3,4,3,0,3,2,2
1,4,11,5,5,1,5,1,5,1,5,5,3,2,0,4,3,3
1,5,3,5,5,2,3,5,5,2,2,5,1,2,2,4,4,3
2,4,13,3,4,1,1,1,5,1,1,3,1,2,0,2,6,3
2,4,1,5,2,3,5,2,5,2,3,3,2,1,1,5,6,2
1,3,1,5,4,4,5,5,5,5,3,4,4,1,0,3,3,3
1,2,7,5,1,1,1,1,5,1,1,1,1,1,1,4,5,4
1,1,3,5,5,5,5,5,5,1,1,5,5,1,1,2,1,3
1,3,6,2,1,5,5,2,5,1,1,1,2,1,0,4,3,3
1,1,3,4,1,4,4,4,5,1,3,5,5,10,1,3,8,1
1,1,2,3,3,4,5,5,5,1,2,2,1,5,0,2,3,3
2,3,11,5,1,1,3,1,5,1,1,5,2,1,0,2,3,4
1,3,1,5,5,4,5,4,5,4,3,5,5,1,1,4,4,5
1,3,3,4,5,4,5,1,5,1,4,3,3,2,3,4,3,3
1,4,3,5,2,2,2,4,5,1,1,3,2,1,1,4,3,2
1,2,13,4,3,5,2,1,5,1,1,1,1,1,0,4,3,3
2,2,1,5,5,5,5,4,5,5,4,5,2,9,0,4,4,5
2,4,3,1,5,1,1,1,5,1,1,2,1,2,0,2,4,5
1,3,3,5,3,4,3,2,5,1,3,5,2,1,1,4,7,4
1,2,1,4,5,5,5,1,5,1,1,1,5,10,0,2,8,4
1,3,6,4,5,4,5,2,5,2,1,2,1,2,0,4,5,2
1,5,3,5,1,1,1,1,5,2,1,1,1,1,0,4,4,5
2,5,3,5,5,2,5,1,5,3,4,5,2,1,1,2,2,4
2,1,15,5,1,5,5,1,5,1,2,2,1,1,0,2,2,1
2,1,3,5,5,5,3,1,5,2,2,5,1,6,1,4,7,5
2,1,3,3,3,2,3,4,4,4,4,4,3,1,0,4,1,4
1,4,8,5,1,3,5,3,5,1,3,3,3,8,1,4,8,3
2,1,16,5,1,2,5,5,5,1,1,5,1,1,0,4,3,2
1,5,1,3,5,3,5,4,3,5,5,4,3,7,2,4,4,4
2,5,3,5,2,5,5,5,5,2,2,5,2,1,0,4,4,4
1,2,1,5,1,1,5,2,5,2,1,1,1,1,0,4,3,3
1,2,4,3,3,3,3,2,1,1,1,2,2,1,0,4,8,3
1,1,2,5,5,5,5,5,5,1,5,1,1,1,1,4,4,2
2,3,14,5,5,2,2,1,5,1,2,5,5,1,0,5,4,3
1,3,2,4,3,2,2,1,5,2,1,2,1,1,0,4,2,1
1,3,1,2,3,2,2,2,5,2,1,1,1,2,0,4,6,4
2,3,8,2,5,3,1,2,5,1,1,1,1,2,0,4,4,4
2,1,1,5,4,4,4,1,5,1,1,3,1,1,0,3,4,3
1,5,14,5,2,5,5,1,5,1,2,2,1,4,1,4,8,2
2,3,3,5,1,3,1,1,5,1,1,1,1,1,0,2,6,3
1,5,14,2,1,1,1,1,5,1,1,5,1,1,0,5,6,1
2,4,10,5,5,1,5,1,5,1,1,1,1,2,0,2,2,2
2,3,1,5,1,5,2,2,5,1,1,2,1,1,0,4,4,4
1,2,14,3,1,3,5,3,5,4,2,4,2,1,6,4,2,2
1,3,16,5,5,5,5,1,4,1,1,2,2,2,0,4,7,3
1,2,1,5,1,2,3,2,5,1,1,1,5,10,0,4,8,1
2,5,3,5,5,2,2,2,5,1,1,5,1,2,0,4,1,3
2,2,2,5,4,1,5,1,5,1,1,1,1,2,0,4,3,3
1,3,3,1,4,1,2,1,4,1,3,4,1,2,0,4,3,3
1,1,8,5,2,5,5,1,5,1,1,1,1,1,0,4,4,4
2,3,13,4,5,2,3,1,5,1,3,3,3,2,0,2,1,4
1,3,3,5,1,2,2,1,5,1,5,1,1,1,0,4,2,3
2,2,8,5,5,2,2,1,5,1,3,3,3,1,0,2,6,1
1,5,11,5,2,2,4,2,5,1,1,2,4,1,0,4,2,2
2,1,3,5,5,1,2,1,3,5,1,5,4,2,0,4,3,4
2,5,3,5,5,1,5,2,5,2,1,2,1,4,0,4,3,3
2,1,16,5,3,3,5,1,5,1,1,3,1,1,0,2,3,3
2,1,13,5,1,2,4,1,5,1,1,5,5,1,0,4,4,4
2,2,1,5,1,2,5,1,5,1,1,1,1,4,0,4,5,4
2,5,10,5,5,1,1,1,5,1,1,1,1,1,0,4,7,4
1,2,10,5,3,2,4,1,5,1,1,3,2,6,0,4,4,3
1,4,1,4,1,1,2,1,2,1,2,1,1,1,0,4,5,2
2,4,7,3,3,1,1,2,2,1,2,3,1,2,0,4,3,4
1,4,6,5,1,1,2,2,5,1,2,3,1,1,0,4,5,3
2,3,4,1,5,3,3,2,5,2,3,3,2,2,0,4,6,4
1,3,14,4,1,1,2,1,5,1,1,2,1,1,0,4,8,3
2,1,1,5,3,2,3,1,5,1,3,4,5,1,0,3,5,3
1,3,13,5,4,1,1,1,5,1,1,3,1,1,0,4,4,4
1,4,11,1,5,4,2,2,5,2,3,2,2,6,0,4,5,5
2,3,3,2,1,4,2,2,4,1,1,1,1,1,1,2,1,3
2,5,4,2,5,1,2,2,5,1,1,2,1,2,0,4,4,2
2,4,17,1,5,1,1,1,5,1,1,2,2,2,0,4,3,3
2,3,3,5,1,1,2,1,4,1,1,1,1,1,0,2,3,3
2,3,1,5,5,1,5,1,1,1,1,5,1,2,0,4,2,4
1,4,2,1,5,1,5,1,5,1,1,2,1,2,0,2,5,3
1,3,2,5,1,2,2,1,1,1,1,3,1,1,0,4,5,4
2,4,1,1,4,3,4,1,3,1,1,1,2,2,0,4,2,5
2,5,13,5,1,2,5,5,5,1,2,3,1,1,1,2,1,2
1,1,9,5,1,2,5,5,5,1,1,3,1,5,0,4,3,4
1,5,15,5,5,2,3,3,5,1,1,5,1,2,0,4,2,2
1,2,4,5,2,5,2,1,3,1,1,2,5,1,0,2,1,3
2,1,15,5,2,3,5,5,5,1,1,4,1,1,0,3,5,4
2,1,14,5,2,3,4,1,5,5,1,3,1,1,0,4,2,3
1,2,3,5,2,5,5,1,5,1,1,3,3,1,0,4,2,4
1,4,16,5,2,2,2,3,3,1,1,2,1,1,0,4,1,5
2,5,14,5,5,2,5,1,5,1,1,5,2,4,0,4,2,2
2,3,3,5,2,5,5,3,5,2,1,3,1,1,0,5,5,4
